Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
113759006,113761002,Fusobacterium nucleatum subspecies animalis (organism),Fusobacterium nucleatum subspecies nucleatum (organism)
132311008,132309004,"Wanzhe Spotted, Wannan Spotted pig breed (organism)",Wanzhe Spotted pig breed (organism)
64724000,38518005,Lactococcus lactis subspecies hordniae (organism),Lactococcus lactis subspecies lactis (organism)
62991009,29947009,Lactobacillus delbrueckii subspecies lactis (organism),Lactobacillus delbrueckii subspecies delbrueckii (organism)
133010009,131924001,New Kirgiz horse breed (organism),Kirgiz horse breed (organism)
699562002,608936007,Plasmodium malariae schizont (organism),Plasmodium malariae trophozoite (organism)
132657000,69855002,American Bobtail Shorthair cat breed (organism),American shorthair cat (organism)
723813008,723810006,Photorhabdus temperata subspecies stackebrandtii (organism),Photorhabdus temperata subspecies temperata (organism)
113760001,113761002,Fusobacterium nucleatum subspecies fusiforme (organism),Fusobacterium nucleatum subspecies nucleatum (organism)
131706006,132798001,Black Welsh Mountain Sheep breed (organism),Welsh Mountain sheep breed (organism)
440735007,440797002,Saccharopolyspora hirsuta subspecies kobensis (organism),Saccharopolyspora hirsuta subspecies hirsuta (organism)
133107000,42724005,Golden American Saddlebred horse breed (organism),American saddlebred horse (organism)
131839001,44082004,Swedish yellow breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
415602002,415601009,Streptococcus constellatus subspecies pharyngis (organism),Streptococcus constellatus subspecies constellatus (organism)
434645007,434699002,Clavibacter michiganensis subspecies nebraskensis (organism),Clavibacter michiganensis subspecies michiganensis (organism)
243687000,243686009,Ctenocephalides felis damarensis (organism),Ctenocephalides felis felis (organism)
707330008,423897003,Multidrug resistant Achromobacter xylosoxidans (organism),Achromobacter xylosoxidans xylosoxidans (organism)
132101005,132353009,Swiss Edelschwein pig breed (organism),Edelschwein pig breed (organism)
131810001,44082004,Cayuga breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
439638005,440278003,Streptomyces hygroscopicus subspecies decoyicus (organism),Streptomyces hygroscopicus subspecies hygroscopicus (organism)
441383002,440748006,Streptomyces cavourensis subspecies washingtonensis (organism),Streptomyces cavourensis subspecies cavourensis (organism)
434785008,434782006,Halanaerobium saccharolyticum subspecies senegalense (organism),Halanaerobium saccharolyticum subspecies saccharolyticum (organism)
441418003,441429004,Zymomonas mobilis subspecies francensis (organism),Zymomonas mobilis subspecies mobilis (organism)
131855008,70881005,Sebastopol goose breed (organism),Anser anser anser (organism)
389219008,389221003,Gorilla gorilla beringei (organism),Gorilla gorilla gorilla (organism)
441425005,441432001,Syntrophomonas wolfei subspecies saponavida (organism),Syntrophomonas wolfei subspecies wolfei (organism)
432621007,432619002,Clostridium stercorarium subspecies leptospartum (organism),Clostridium stercorarium subspecies stercorarium (organism)
8336000,31613002,Culex pipiens molestus (organism),Culex pipiens pipiens (organism)
76279008,29947009,Lactobacillus delbrueckii subspecies bulgaricus (organism),Lactobacillus delbrueckii subspecies delbrueckii (organism)
133785004,133713000,South Malawi Zebu cattle breed (organism),Malawi Zebu cattle breed (organism)
113794004,113793005,Lactobacillus paracasei ss tolerans (organism),Lactobacillus paracasei ss paracasei (organism)
132439008,132521001,Miniature Australian Shepherd dog breed (organism),Australian Shepherd dog breed (organism)
132293009,132244004,"Jinhua, Dongyang pig breed (organism)",Jinhua pig breed (organism)
432227000,432228005,Photorhabdus luminescens subspecies laumondii (organism),Photorhabdus luminescens subspecies luminescens (organism)
132252001,132225006,Angeln Saddleback pig breed (organism),Saddleback pig breed (organism)
132649003,132511009,Greater Swiss Mountain Hound dog breed (organism),Greater Swiss Mountain Dog breed (organism)
132649003,132642007,Greater Swiss Mountain Hound dog breed (organism),Swiss Mountain Dog breed (organism)
19891000146108,424719003,Alcaligenes faecalis subspecies phenolicus (organism),Alcaligenes faecalis subspecies faecalis (organism)
440815004,441130000,Staphylococcus succinus subspecies casei (organism),Staphylococcus succinus subspecies succinus (organism)
243688005,243686009,Ctenocephalides felis orientalis (organism),Ctenocephalides felis felis (organism)
705094007,704995002,Mycobacterium abscessus subspecies bolletii (organism),Mycobacterium abscessus subspecies abscessus (organism)
113974002,103496007,Staphylococcus schleiferi subspecies coagulans (organism),Staphylococcus schleiferi subspecies schleiferi (organism)
131526008,131439005,Southern Tswana cattle breed (organism),Tswana cattle breed (organism)
438166007,437774004,Salinivibrio costicola subspecies vallismortis (organism),Salinivibrio costicola subspecies costicola (organism)
133196002,132198008,"Romanian Native, Baltaret pig breed (organism)",Baltaret pig breed (organism)
131827009,44082004,Kromsnaveleend breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
132904003,132887009,Pointed Beveren rabbit breed (organism),Beveren rabbit breed (organism)
76833007,14191007,Phnom Penh bat virus (organism),Entebbe bat virus (organism)
431127009,431147001,Beijerinckia derxii subspecies venezuelaei (organism),Beijerinckia derxii subspecies derxii (organism)
132246002,132195006,Mora Romagnola pig breed (organism),Romagnola pig breed (organism)
69266002,31613002,Culex pipiens quinquefasciatus (organism),Culex pipiens pipiens (organism)
434703004,434607006,Couchioplanes caeruleus subspecies azureus (organism),Couchioplanes caeruleus subspecies caeruleus (organism)
440770009,441361001,Streptomyces cinnamoneus subspecies albosporus (organism),Streptomyces cinnamoneus subspecies cinnamoneus (organism)
427760003,427764007,Bacillus subtilis spizizenii (organism),Bacillus subtilis subtilis (organism)
125094007,125091004,Bos taurus indicus X Bos taurus taurus (organism),Bos taurus indicus (organism)
131829007,44082004,Silver appleyard breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
133430002,133276000,Polled Sussex cattle breed (organism),Sussex cattle breed (organism)
723815001,723810006,Photorhabdus temperata subspecies thracensis (organism),Photorhabdus temperata subspecies temperata (organism)
133247003,131590008,Milking Devon cattle breed (organism),Devon cattle breed (organism)
49373002,81665004,Woodchuck hepatitis B virus (organism),Hepatitis B virus (organism)
76383005,77985003,Dakar bat virus (organism),Rio Bravo virus (organism)
723814002,723810006,Photorhabdus temperata subspecies tasmaniensis (organism),Photorhabdus temperata subspecies temperata (organism)
